Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Machine learning model for early prediction of acute kidney injury (AKI) in pediatric critical care","The machine learning model accurately predicts moderate to severe acute kidney injury in pediatric critical care patients up to 48 hours before its onset, potentially improving outcomes by providing early alerting and feedback.","Junzi Dong, T. Feng, B. Thapa-Chhetry, Byung Gu Cho, Tunu Shum, D. Inwald, C. Newth, Vinay Vaidya",2021,173,"Background: Acute kidney injury (AKI) in pediatric critical care patients is diagnosed using elevated serum creatinine, which occurs only after kidney impairment. There are no treatments other than supportive care for AKI once it has developed, so it is important to identify patients at risk to prevent injury. This study develops a machine learning model to learn pre-disease patterns of physiological measurements and predict pediatric AKI up to 48 h earlier than the currently established diagnostic guidelines.

Methods: EHR data from 16,863 pediatric critical care patients between 1 month to 21 years of age from three independent institutions were used to develop a single machine learning model for early prediction of creatinine-based AKI using intelligently engineered predictors, such as creatinine rate of change, to automatically assess real-time AKI risk. The primary outcome is prediction of moderate to severe AKI (Stage 2/3), and secondary outcomes are prediction of any AKI (Stage 1/2/3) and requirement of renal replacement therapy (RRT). Predictions generate alerts allowing fast assessment and reduction of AKI risk, such as: ""patient has 90% risk of developing AKI in the next 48 h"" along with contextual information and suggested response such as ""patient on aminoglycosides, suggest check level and review dose and indication"".

Results: The model was successful in predicting Stage 2/3 AKI prior to detection by conventional criteria with a median lead-time of 30 h at AUROC of 0.89. The model predicted 70% of subsequent RRT episodes, 58% of Stage 2/3 episodes, and 41% of any AKI episodes. The ratio of false to true alerts of any AKI episodes was approximately one-to-one (PPV 47%). Among patients predicted, 79% received potentially nephrotoxic medication after being identified by the model but before development of AKI.

Conclusions: As the first multi-center validated AKI prediction model for all pediatric critical care patients, the machine learning model described in this study accurately predicts moderate to severe AKI up to 48 h in advance of AKI onset. The model may improve outcome of pediatric AKI by providing early alerting and actionable feedback, potentially preventing or reducing AKI by implementing early measures such as medication adjustment.

© 2021. The Author(s).","theoretical, modeling, or simulation study","Critical Care","1","10.1186/s13054-021-03724-0","https://consensus.app/papers/machine-learning-model-for-early-prediction-of-acute-dong-feng/1708565838fd5d5585f55734d870ca39/"
"A novel multivariable time series prediction model for acute kidney injury in general hospitalization","Our novel RNN-based prediction model effectively predicts acute kidney injury in general hospitalizations, outperforming mainstay methods and most published models.","Jie Xu, Yan Hu, Henglian Liu, Wenjun Mi, Guisen Li, Jinhong Guo, Yunlin Feng",2022,13,"","theoretical, modeling, or simulation study","International journal of medical informatics","1","10.1016/j.ijmedinf.2022.104729","https://consensus.app/papers/a-novel-multivariable-time-series-prediction-model-for-xu-hu/e2ac8b65b3c552de8218b4c23b29d3cc/"
"Integration of machine learning and large language models for screening and identifying key risk factors of acute kidney injury after cardiac surgery","Integrating machine learning and large language models effectively identified key risk factors for acute kidney injury after cardiac surgery, improving early identification and intervention.","Zishan Li, Lei Wang, Xunying Zhang, Aiping Wu, Tao Liu",2025,3,"Objectives: This study aimed to identify critical risk factors for acute kidney injury (AKI) following cardiac surgery. By integrating patient data from the MIMIC-IV database with large language models (LLMs) and machine learning algorithms, we ensured the clinical relevance of the selected risk factors, providing robust insights for the early identification and intervention of postoperative AKI.

Methods: Intensive care unit (ICU) data of patients from the MIMIC-IV database undergoing cardiac surgery were analyzed. Lasso regression and random forest algorithms were used to select significant predictive features from high-dimensional data. Model evaluation involved 10-fold cross-validation and metrics including accuracy, sensitivity, specificity, and the area under the curve. To enhance clinical relevance, LLMs-simulated expert judgment in cardiology and nephrology, which was further validated through discussions with clinical experts.

Results: In the cohort consisting of 4,565 patients, a total of 113 important and shared risk factors for AKI were identified, including variables such as anion gap, arterial partial pressure of oxygen (PaO2), and fraction of inspired oxygen (FiO2). Among these, 18 key variables were identified as postoperative AKI predictors via machine learning and LLMs-simulated expert validation. These included anchor age, Creatinine (serum), BUN (Blood Urea Nitrogen), Potassium (serum), Sodium (serum), Lactic Acid, Troponin-T, Furosemide (Lasix), Vancomycin (Random), Gentamicin (Trough), Albumin 5%, ART BP Mean, Cardiac Output (thermodilution), Brain Natriuretic Peptide (BNP), Absolute Count - Lymphs, Absolute Count - Monos, and Absolute Count - Neuts. The integration of LLMs with machine learning algorithms proved effective in accurately identifying clinically relevant risk factors.

Conclusion: The proposed risk prediction approach for postoperative AKI following cardiac surgery, based on the collaborative analysis of machine learning and large language models (LLMs), effectively identified and validated key clinical risk factors. By simulating expert clinical reasoning, the LLMs significantly enhanced the medical relevance of feature selection and improved the clinical interpretability of the model. This approach provides a solid theoretical and practical foundation for the precise early identification and clinical intervention of postoperative AKI in cardiac surgery patients.

Copyright © 2025 Li, Wang, Zhang, Wu and Liu.","theoretical, modeling, or simulation study","Frontiers in Medicine","1","10.3389/fmed.2025.1618222","https://consensus.app/papers/integration-of-machine-learning-and-large-language-models-li-wang/3f23a2f54e695547b6810415b69b58ac/"
"Synthetic data for privacy-preserving clinical risk prediction","Synthetic data can effectively replace real data in medical prognostic modeling, offering privacy-preserving access for healthcare research and development.","Zhaozhi Qian, Thomas Callender, B. Cebere, S. M. Janes, N. Navani, M. van der Schaar",2023,52,"Synthetic data promise privacy-preserving data sharing for healthcare research and development. Compared with other privacy-enhancing approaches-such as federated learning-analyses performed on synthetic data can be applied downstream without modification, such that synthetic data can act in place of real data for a wide range of use cases. However, the role that synthetic data might play in all aspects of clinical model development remains unknown. In this work, we used state-of-the-art generators explicitly designed for privacy preservation to create a synthetic version of ever-smokers in the UK Biobank before building prognostic models for lung cancer under several data release assumptions. We demonstrate that synthetic data can be effectively used throughout the medical prognostic modeling pipeline even without eventual access to the real data. Furthermore, we show the implications of different data release approaches on how synthetic biobank data could be deployed within the healthcare system.

© 2024. The Author(s).","theoretical, modeling, or simulation study","Scientific Reports","1","10.1038/s41598-024-72894-y","https://consensus.app/papers/synthetic-data-for-privacypreserving-clinical-risk-qian-callender/bef55622dd4a5d37a8aa49348c7bb509/"
"Federated Learning for Healthcare Applications","Federated learning (FL) allows for comparable generalization abilities to centralized learning in healthcare applications while maintaining data privacy.","A. Chaddad, Yihang Wu, Christian Desrosiers",2024,92,"Due to the fast advancement of artificial intelligence (AI), centralized-based models have become critical for healthcare tasks like in medical image analysis and human behavior recognition. Although these models exhibit suitable performance, they are frequently constrained by privacy concerns. To attenuate this, a centralized learning strategy cannot be used in cases where there is a risk of data privacy breach, particularly in healthcare centers. Federated learning (FL) is a technique that allows for training a global model without sharing data by training distributed local models and aggregating them. By implementing FL throughout the training process, we can obtain a model with comparable generalization abilities to centralized learning while maintaining data privacy. This survey provides an introduction to the fundamental concepts and categories of FL, highlights the limitations of the centralized healthcare model, and discusses how FL can address these constraints. We also provide a detailed overview of the healthcare applications using FL models, along with commonly used evaluation metrics and public data sets. In this context, we have implemented a case study to demonstrate how FL can be applied in the healthcare field. Furthermore, we outline the key challenges and future trends in FL.","literature review","IEEE Internet of Things Journal","1","10.1109/jiot.2023.3325822","https://consensus.app/papers/federated-learning-for-healthcare-applications-chaddad-wu/4c4c72798a7d54c783c419616922d90d/"
"Utilizing imbalanced electronic health records to predict acute kidney injury by ensemble learning and time series model","The Ensemble Time Series Model (ETSM) effectively predicts acute kidney injury using medication information, providing comparable performance and better interpretability compared to other prediction methods.","Yuan Wang, Yake Wei, Hao Yang, Jingwei Li, Yubo Zhou, Qin Wu",2020,29,"Background: Acute Kidney Injury (AKI) is a shared complication among Intensive Care Unit (ICU), marked by high cost, high morbidity and high mortality. As the early prediction of AKI is critical for patients' outcomes and data mining is such a powerful prediction tool, many AKI prediction models based on machine learning methods have been proposed. Our motivation is inspired by the fact that the incidence of AKI is a changing temporal sequence affected by the joint action of patients' daily drug combinations and their physiological indexes. However, most existing models have not considered such a temporal correlation. Besides, due to great challenges caused by sparse, high-dimensional and highly imbalanced clinical data, it is hard to achieve ideal performance.

Methods: We develop a fast, simple and less-costly model based on an ensemble learning algorithm, named Ensemble Time Series Model (ETSM). Besides benefiting from vital signs and laboratory results as explicit indicators, ETSM explores the effect of drug combinations as possible implicit indicators for the AKI prediction. The model transforms temporal medication information into a multidimensional vector to consider and measure drug cumulative effects that may cause AKI.

Results: We compare ETSM with state-of-the-art models on ICUC and MIMIC III datasets. On the basis of the experimental results, our model obtains satisfactory performance (ICUC: AUC 24 hours ahead: 0.81, 48 hours ahead: 0.78; MIMIC III: AUC 24 hours ahead: 0.95, 48 hours ahead: 0.95). Meanwhile, we compare the effects of different sampling and feature generation methods on the model performance. In the ablation study, we validate that medication information improves model performance (24 hours ahead: AUC increased from 0.74 to 0.81). We also find that the model's performance is closely related to the balanced level of the derivation dataset. The optimal ratio of major class size to minor class size for the model is found for AKI prediction.

Conclusions: ETSM is an effective method for the early prediction of AKI. The model verifies that AKI incidence is related to the clinical medication. In comparison with other prediction methods, ETSM provides comparable performance results and better interpretability.","theoretical, modeling, or simulation study","BMC Medical Informatics and Decision Making","1","10.1186/s12911-020-01245-4","https://consensus.app/papers/utilizing-imbalanced-electronic-health-records-to-wang-wei/a97a670049ca5a13a0c3e4d786d9f4c7/"
"Privacy-preserving artificial intelligence in healthcare: Techniques and applications","This study highlights the need for privacy-preserving techniques like Federated Learning and Hybrid Techniques in AI-based healthcare applications, and explores potential privacy attacks and security challenges.","N. Khalid, Adnan Qayyum, M. Bilal, A. Al-Fuqaha, Junaid Qadir",2023,397,"","","Computers in biology and medicine","1","10.1016/j.compbiomed.2023.106848","https://consensus.app/papers/privacypreserving-artificial-intelligence-in-khalid-qayyum/a6d52fca43ea5a0ea688c0aec91270c6/"
"Forecasting acute kidney injury and resource utilization in ICU patients using longitudinal, multimodal models","Our multimodal model effectively predicts acute kidney injury and continuous renal replacement therapy in ICU patients, offering insights for timely interventions and optimizing AKI management.","Yukun Tan, Merve Dede, Vakul Mohanty, Jinzhuang Dou, Holly Hill, Elmer V. Bernstam, Ken Chen",2024,9,"","theoretical, modeling, or simulation study","Journal of biomedical informatics","1","10.1016/j.jbi.2024.104648","https://consensus.app/papers/forecasting-acute-kidney-injury-and-resource-utilization-tan-dede/2ad8cae00db85385b47ccb0dc134fef0/"
"Advancing Federated Learning Through Novel Mechanism for Privacy Preservation in Healthcare Applications","Our privacy-preserving federated learning models enable healthcare institutions to train machine learning models on decentralized data while maintaining individual patient data confidentiality, enhancing collective intelligence and medical research.","Mohammed AbaOud, Muqrin A. Almuqrin, Mohammad Faisal Khan",2023,69,"The domain of healthcare data collaboration heralds an era of profound transformation, underscoring an exceptional potential to elevate the quality of patient care and expedite the advancement of medical research. The formidable challenge, however, lies in the safeguarding of sensitive information’s privacy and security - a monumental task that creates significant obstacles. This paper presents an innovative approach designed to address these challenges through the implementation of privacy-preserving federated learning models, effectively pioneering a novel path in this intricate field of research. Our proposed solution enables healthcare institutions to collectively train machine learning models on decentralized data, concurrently preserving the confidentiality of individual patient data. During the model aggregation phase, the proposed mechanism enforces the protection of sensitive data by integrating cutting-edge privacy-preserving methodologies, including secure multi-party computation and differential privacy. To substantiate the efficacy of the proposed solution, we conduct an array of comprehensive simulations and evaluations with a concentrated focus on accuracy, computational efficiency, and privacy preservation. The results obtained corroborate that our methodology surpasses competing approaches in providing superior utility and ensuring robust privacy guarantees. The proposed approach encapsulates the feasibility of secure and privacy-preserving collaboration on healthcare data, serving as a compelling testament to its practicality and effectiveness. Through our work, we underscore the potential of harnessing collective intelligence in healthcare while maintaining paramount privacy protection, thereby affirming the promise of a new horizon in collaborative healthcare informatics.","theoretical, modeling, or simulation study","IEEE Access","1","10.1109/access.2023.3301162","https://consensus.app/papers/advancing-federated-learning-through-novel-mechanism-for-abaoud-almuqrin/c6b4ce89d2c1523ab971d875bd3407e7/"
"Development and validation of an automated algorithm for identifying patients at higher risk for drug-induced acute kidney injury.","A dynamic prediction model effectively identifies patients at high risk for drug-induced acute kidney injury, capturing the majority of AKI events in hospitalized patients.","Nakyung Jeon, Benjamin J. Staley, Carl H. Henriksen, Gloria P. Lipori, A. Winterstein",2019,11,"Purpose: Using information from institutional electronic health records, we aimed to develop dynamic predictive models to identify patients at high risk of acute kidney injury (AKI) among those who received a nephrotoxic medication during their hospital stay.

Methods: Candidate predictors were measured for each of the first 5 hospital days where a patient received a nephrotoxic medication (risk model days) to predict an AKI, using logistic regression with reduced backward variables elimination in 100 bootstrap samples. An AKI event was defined as an increase of serum creatinine ≥ 200% of a baseline SCr within 5 days after a risk model day. Final models were internally validated by replication in 100 bootstrap samples and a risk score for each patient was calculated from the validated model. As performance measures, the area under the receiver operation characteristic curves (AUC) and the number of AKI events among patients who had high risk scores were estimated.

Results: The study population included 62,561 admissions followed by 1,212 AKI events (1.9 events/100 admissions). We constructed 5 risk models corresponding to the first 5 hospital days where patients were exposed to at least one nephrotoxic medication. Validated AUCs of the 5 models ranged from 0.78 to 0.81. Depending on risk model day, admissions ranked in the 90th percentile of the risk score captured between 43% to 49% of all AKI events.

Conclusion: A dynamic prediction model was built successfully for inpatient AKI with excellent discriminative validity and good calibration, allowing clinicians to focus on a select high-risk population that captures the majority of AKI events.

© American Society of Health-System Pharmacists 2019. All rights reserved. For permissions, please e-mail: journals.permissions@oup.com.","theoretical, modeling, or simulation study","American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists","1","10.1093/ajhp/zxz043","https://consensus.app/papers/development-and-validation-of-an-automated-algorithm-for-jeon-staley/d54066da5d69520197aa270091ddc449/"
"Attention-Based Synthetic Data Generation for Calibration-Enhanced Survival Analysis: A Case Study for Chronic Kidney Disease Using Electronic Health Records","Masked Clinical Modelling (MCM) improves survival model calibration in clinical prediction models, reducing overall calibration loss by 15% and subgroup meta-calibration loss by 9% without retraining or outcome-specific tuning.","Nicholas I-Hsien Kuo, Blanca Gallego, Louisa Jorm",2025,5,"Objectives: Access to real-world healthcare data is constrained by privacy regulations and data imbalances, hindering the development of fair and reliable clinical prediction models. Synthetic data offers a potential solution, yet existing methods often fail to maintain calibration or enable subgroup-specific augmentation. This study introduces Masked Clinical Modelling (MCM), an attention-based synthetic data generation framework designed to enhance survival model calibration in both global and stratified analyses.

Methods: MCM uses masked feature reconstruction to learn feature dependencies without explicitly training on survival objectives. It supports both standalone dataset synthesis and conditional data augmentation, enabling the generation of targeted synthetic subcohorts without retraining. Evaluated on a chronic kidney disease (CKD) electronic health record (EHR) dataset, MCM was benchmarked against eight baseline methods, including variational autoencoders, GANs, SMOTE variants, and a recent risk-aware distillation model. Model performance was assessed via calibration loss, Cox model consistency, and Kaplan-Meier fidelity.

Results: MCM-generated data closely replicated statistical properties of the real dataset, pre- served hazard ratios, and matched time-to-event curves with high fidelity. Cox models trained on MCM-augmented data demonstrated improved calibration, reducing overall calibration loss by 15% and subgroup meta-calibration loss by 9% compared to unaugmented data. These improvements held across multiple high-risk subgroups including those with diabetes, renal dys- function, and advanced age. Unlike competing methods, MCM achieved this without retraining or outcome-specific tuning.

Conclusions: MCM offers a practical and flexible framework for generating synthetic survival data that improves risk model calibration. By supporting both reproducible dataset synthesis and conditional subgroup augmentation, MCM bridges privacy-preserving data access with calibration-aware learning. This work highlights the role of synthetic data not just as a privacy tool, but as a vehicle for improving equity and reliability in clinical modelling.

Copyright © 2025 The Author(s). Published by Elsevier Inc. All rights reserved.","theoretical, modeling, or simulation study","Journal of biomedical informatics","1","10.48550/arxiv.2503.06096","https://consensus.app/papers/attentionbased-synthetic-data-generation-for-kuo-gallego/4f613a9c85645e1ca7d52c5a4989afa1/"
"Machine learning for acute kidney injury: Changing the traditional disease prediction mode","Machine learning prediction models for acute kidney injury show promise in improving diagnosis and treatment, offering new hope for improved clinical applications.","Xiang Yu, Yuwei Ji, Mengjie Huang, Zhe Feng",2023,23,"Acute kidney injury (AKI) is a serious clinical comorbidity with clear short-term and long-term prognostic implications for inpatients. The diversity of risk factors for AKI has been recognized in previous studies, and a series of predictive models have been developed using traditional statistical methods in conjunction with its preventability, but they have failed to meet the expectations in limited clinical applications, the rapid spread of electronic health records and artificial intelligence machine learning technology has brought new hope for the construction of AKI prediction models. In this article, we systematically review the definition and classification of machine learning methods, modeling ideas and evaluation methods, and the characteristics and current status of modeling studies. According to the modeling objectives, we subdivided them into critical care medical setting models, all medical environment models, special surgery models, special disease models, and special nephrotoxin exposure models. As the first review article to comprehensively summarize and analyze machine learning prediction models for AKI, we aim to objectively describe the advantages and disadvantages of machine learning approaches to modeling, and help other researchers more quickly and intuitively understand the current status of modeling research, inspire ideas and learn from experience, so as to guide and stimulate more research and more in-depth exploration in the future, which will ultimately provide greater help to improve the overall status of AKI diagnosis and treatment.

Copyright © 2023 Yu, Ji, Huang and Feng.","literature review","Frontiers in Medicine","1","10.3389/fmed.2023.1050255","https://consensus.app/papers/machine-learning-for-acute-kidney-injury-changing-the-yu-ji/152c9e2643e15306a38d9504c97471e3/"
"FEDERATED LEARNING FOR PRIVACY-PRESERVING HEALTHCARE DATA SHARING: ENABLING GLOBAL AI COLLABORATION","Federated learning enables secure, ethical, and scalable AI systems in healthcare by ensuring privacy and promoting inclusivity while safeguarding patient confidentiality.","Sai Srinivas Matta, Manish Bolli",2025,7,"This study provides a comprehensive systematic review of federated learning as a framework for privacy-preserving healthcare data sharing and its potential to enable global artificial intelligence collaboration. In total, 124 peer-reviewed articles were examined following the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines to ensure transparency, rigor, and reproducibility. The review highlights how federated learning has evolved from conceptual discussions to practical applications across multiple healthcare domains, including medical imaging, electronic health records, biosignals, and genomic analysis. Key findings indicate that federated architectures, particularly server–client models, have become the dominant deployment strategy, while peer-to-peer approaches are gaining attention for their resilience and decentralization. Privacy-preserving mechanisms—such as differential privacy, secure aggregation, and cryptographic computation—emerged as central to ensuring compliance with regulatory and ethical standards, with adaptive strategies allowing for an effective balance between confidentiality and model utility. Evidence from multi-institutional collaborations shows that federated learning not only improves predictive performance but also enhances inclusivity, enabling smaller or resource-limited institutions to contribute meaningfully without relinquishing data ownership. At the same time, empirical studies identified adversarial risks such as gradient inversion, membership inference, and poisoning attacks, underscoring the necessity for layered safeguards and strong governance structures. Collectively, the findings demonstrate that federated learning is more than a technical innovation; it represents a socio-technical paradigm that integrates privacy, equity, and collaboration into the development of global healthcare AI. This review positions federated learning as a cornerstone for building secure, ethical, and scalable artificial intelligence systems that address the dual imperatives of advancing medical innovation while safeguarding patient confidentiality.","systematic review","American Journal of Scholarly Research and Innovation","","10.63125/jga18304","https://consensus.app/papers/federated-learning-for-privacypreserving-healthcare-matta-bolli/5177a1a5414054ff84b60da0b222705b/"
"Synthetic data generation: a privacy-preserving approach to accelerate rare disease research","Synthetic data can revolutionize rare disease research by bridging data gaps, enabling AI models, simulating clinical trials, and facilitating cross-border collaborations while preserving privacy.","Jorge M. Mendes, Aziz Barbar, Marwa Refaie",2025,53,"Rare disease research faces significant challenges due to limited patient data, strict privacy regulations, and the need for diverse datasets to develop accurate AI-driven diagnostics and treatments. Synthetic data-artificially generated datasets that mimic patient data while preserving privacy-offer a promising solution to these issues. This article explores how synthetic data can bridge data gaps, enabling the training of AI models, simulating clinical trials, and facilitating cross-border collaborations in rare disease research. We examine case studies where synthetic data successfully replicated patient characteristics, and supported predictive modelling and ensured compliance with regulations like GDPR and HIPAA. While acknowledging current limitations, we discuss synthetic data's potential to revolutionise rare disease research by enhancing data availability and privacy file enabling more efficient and effective research efforts in diagnosing, treating, and managing rare diseases globally.

© 2025 Mendes, Barbar and Refaie.","literature review","Frontiers in Digital Health","1","10.3389/fdgth.2025.1563991","https://consensus.app/papers/synthetic-data-generation-a-privacypreserving-approach-mendes-barbar/55fbd84bb0f35df59ae6189654e8ff14/"
"Synthetic data as an enabler for machine learning applications in medicine","Synthetic data generation offers privacy-preserving properties for machine learning applications in medicine, but requires further education, research, and policy innovation for full benefits.","J. Rajotte, R. Bergen, D. Buckeridge, Khaled El Emam, Raymond Ng, Elissa Strome",2022,108,"","literature review","iScience","1","10.1016/j.isci.2022.105331","https://consensus.app/papers/synthetic-data-as-an-enabler-for-machine-learning-rajotte-bergen/671b93a3141059aab176eae6ec2c163c/"
"CPLLM: Clinical prediction with large language models","CPLLM outperforms other models in predicting disease diagnosis and hospital readmission, providing state-of-the-art performance without requiring pre-training on medical data.","Ofir Ben Shoham, Nadav Rappoport",2023,57,"We present Clinical Prediction with Large Language Models (CPLLM), a method that involves fine-tuning a pre-trained Large Language Model (LLM) for predicting clinical disease and readmission. We utilized quantization and fine-tuned the LLM using prompts. For diagnostic predictions, we predicted whether patients would be diagnosed with a target disease during their next visit or in the subsequent diagnosis, leveraging their historical medical records. We compared our results to various baselines, including Retain and Med-BERT, the latter of which is the current state-of-the-art model for disease prediction using temporal structured EHR data. In addition, we also evaluated CPLLM's utility in predicting hospital readmission and compared our method's performance with benchmark baselines. Our experiments ultimately revealed that our proposed method, CPLLM, surpasses all the tested models in terms of PR-AUC and ROC-AUC metrics, providing state-of-the-art performance as a tool for predicting disease diagnosis and patient hospital readmission without requiring pre-training on medical data. Such a method can be easily implemented and integrated into the clinical workflow to help care providers plan next steps for their patients.

Copyright: © 2024 Ben Shoham, Rappoport. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","","PLOS Digital Health","","10.1371/journal.pdig.0000680","https://consensus.app/papers/cpllm-clinical-prediction-with-large-language-models-shoham-rappoport/43a929f5cc14595cb906a13cbd533743/"
"A Study On Synthesizing Electronic Health Record Data For Privacy Preservation","Synthetic data generated by both statistical and deep learning models significantly improves privacy and quality in predicting diabetes risks and Intensive Care Unit outcomes in electronic health record data.","T. Mai, Nguyen Phat Vo, Nhat Tan Le",2025,0,"Predicting the risk of developing various diseases using machine learning models, deep learning, and neural networks trained on electronic health record (EHR) data has become crucial in today’s healthcare landscape. However, safeguarding personal information remains a significant concern due to the potential for sensitive information leakage from EHR databases, which often contain personal information that, if revealed, can lead to identity theft, discrimination, and other types of harm. This study aims to apply synthetic data as a replacement for real databases to protect personal information while ensuring the responsible use of data for research, AI applications, and collaborative analysis. The research was conducted on two different EHR databases using a statistical model (Gaussian Copula Synthesizer) and a deep learning model (Conditional Generative Adversarial Network Synthesizer). Specifically, the study focused on forecasting diabetes risks in the next year and predicting Intensive Care Unit outcomes in EHRs. The quality of these synthetic datasets was evaluated using statistical metrics and machine learning efficiency. Moreover, data security efficiency was assessed using statistical-based privacy metrics, including k-Anonymity, l-Diversity, and ε–Identifiability values. The results demonstrate the significant quality and privacy of synthetic data generated by both models, highlighting the potential of the proposed pipeline of synthetic data-generating models in future healthcare applications.","theoretical, modeling, or simulation study","Journal of Physics: Conference Series","","10.1088/1742-6596/2949/1/012010","https://consensus.app/papers/a-study-on-synthesizing-electronic-health-record-data-for-mai-vo/d5ace37f5a4150e491632f8420166825/"
"Generative AI in Medical Practice: In-Depth Exploration of Privacy and Security Challenges","Generative AI in healthcare poses privacy and security challenges, highlighting the need for organizations to address these risks for safe and effective use.","Yan Chen, Pouyan Esmaeilzadeh",2024,236,"As advances in artificial intelligence (AI) continue to transform and revolutionize the field of medicine, understanding the potential uses of generative AI in health care becomes increasingly important. Generative AI, including models such as generative adversarial networks and large language models, shows promise in transforming medical diagnostics, research, treatment planning, and patient care. However, these data-intensive systems pose new threats to protected health information. This Viewpoint paper aims to explore various categories of generative AI in health care, including medical diagnostics, drug discovery, virtual health assistants, medical research, and clinical decision support, while identifying security and privacy threats within each phase of the life cycle of such systems (ie, data collection, model development, and implementation phases). The objectives of this study were to analyze the current state of generative AI in health care, identify opportunities and privacy and security challenges posed by integrating these technologies into existing health care infrastructure, and propose strategies for mitigating security and privacy risks. This study highlights the importance of addressing the security and privacy threats associated with generative AI in health care to ensure the safe and effective use of these systems. The findings of this study can inform the development of future generative AI systems in health care and help health care organizations better understand the potential benefits and risks associated with these systems. By examining the use cases and benefits of generative AI across diverse domains within health care, this paper contributes to theoretical discussions surrounding AI ethics, security vulnerabilities, and data privacy regulations. In addition, this study provides practical insights for stakeholders looking to adopt generative AI solutions within their organizations.

©Yan Chen, Pouyan Esmaeilzadeh. Originally published in the Journal of Medical Internet Research (https://www.jmir.org), 08.03.2024.","","Journal of Medical Internet Research","1","10.2196/53008","https://consensus.app/papers/generative-ai-in-medical-practice-indepth-exploration-of-chen-esmaeilzadeh/808d7f4be9ff53d481c7d5360d3b05b9/"
"Privacy-Preserving Machine Learning Models to Derive Risk Factors of Kidney Disease in EHRs","Our Privacy-Preserving Machine Learning (PPML) system effectively determines Chronic Kidney Disease (CKD) risk factors in EHRs without violating patient confidentiality.","Aamir Raza, Haroon Arif, Abdul Karim Sajid Ali, Ali Abbas Hussain, Bickey Kumar Shah",2025,0,"Chronic Kidney Disease (CKD) is asymptomatic at an early stage and developmental and in order to provide treatment, early detection of risk factors is vital. The potential of predictive modeling with the structured, rich data of Electronic Health Records (EHRs) has been viewed as great, but these records contain sensitive data which is a concern of privacy and can be hamstrung by regulatory issues. To solve this, we present a complete Privacy-Preserving Machine Learning (PPML) system integrating Federated Learning (FL), Differential Privacy (DP), and Synthetic Data Augmentation to determine CKD risk factors without violating patient confidentiality. Such supervised learning algorithms as Random Forests (RF), Support Vector Machines (SVMs), and Gradient Boosted Decision Trees (GBDT) were deployed and trained at different decentralized institutions, which collaborated to train their models on decentralized data but not on the raw data. The sensitivity of datasets required pure Differential Privacy (ε=1, δ=1e-5) to guarantee formal privacy latencies, whereas synthetic data was used to alleviate class imbalance and sparse data. An experimental analysis on de-identified real-world EHR datasets revealed that our framework performs comparably well (with full privacy-preserving setting using XGBoost delivering AUC-ROC of 0.87) when compared to centralized baselines (performance difference was (on average) only ~2 percent). The importance analysis of parameters inferred on variable importance in machine learning disclosed important predictors, like the serum creatinine, age, blood pressure, and proteinuria. These findings support the feasibility and success of using interpretable and regulation-friendly machine learning models in heterogeneous healthcare systems and lay the groundwork of future applications into time-ready modeling and use of unstructured clinical texts to perform multimodal risk factor extraction based on NLP.","","2025 4th International Conference on Innovative Mechanisms for Industry Applications (ICIMIA)","","10.1109/icimia67127.2025.11200980","https://consensus.app/papers/privacypreserving-machine-learning-models-to-derive-risk-raza-arif/464f9b064fa25ae9a6c72fc3cec19f8a/"
